symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
CCDC59,-0.3978357942488335,6.944888708747358,-6.068013557326412,2.2053051422995534e-9,6.032213285729843e-6,11.006272532014844
COX7A2,-0.3747657847498435,8.770264165217764,-6.040911562872467,2.5861578931317654e-9,6.032213285729843e-6,10.856872038359505
PHF15,0.4748610820776985,6.250057464207159,5.956680791206681,4.226766524591037e-9,6.572621945739062e-6,10.396347828735937
MB,-0.6159582713507462,6.978088760490725,-5.860360654069418,7.359900367793951e-9,8.312711363576263e-6,9.876801479995681
CDKN3,-0.6435674143803574,5.071092007426296,-5.826861544818958,8.909658481860945e-9,8.312711363576263e-6,9.697885298206245
NUCKS1,-0.4900516637566295,6.538001326106052,-5.732013740810758,1.5227889014538212e-8,1.183968370880346e-5,9.196303965564987
RBBP8,0.6165126045606186,7.1249042196017625,5.695096480159677,1.8722543168185672e-8,1.2477237697083737e-5,9.003076762817006
AURKA,-0.6901121760881513,5.625202709549005,-5.593897161000361,3.2793726712744186e-8,1.5748032629415902e-5,8.479168648097325
MRPL13,-0.5848086506161625,7.440991468032499,-5.592136195051289,3.311263163451894e-8,1.5748032629415902e-5,8.470127245012879
ENY2,-0.49832957245890597,8.047438611910081,-5.588623279718913,3.375784057752605e-8,1.5748032629415902e-5,8.452098421962756
MARS,-0.34148130393159465,7.2239621306534225,-5.534450497909569,4.5399276673195446e-8,1.8575917208802498e-5,8.175373663139784
RNF7,-0.3674587388653562,7.375630201500217,-5.525045253793897,4.778370986187137e-8,1.8575917208802498e-5,8.127578633213385
MTHFD2,-0.457334899155638,8.243716187407593,-5.507543594290257,5.2548726014802193e-08,1.8856908219927095e-5,8.038835862768469
INPP1,0.42917139203363913,5.687625303233918,5.472641238588806,6.346799934532139e-8,2.1148444067566022e-5,7.862624961139079
DERL1,-0.47658979960630043,7.162775184278606,-5.446599545043345,7.302001537679687e-8,2.2709224782183825e-5,7.731811447584474
DCUN1D1,-0.40015979698169046,6.460252929739885,-5.426241010882837,8.144578698740173e-8,2.3746537268514318e-5,7.629940784165675
AQP1,0.7180204601933639,6.389025999373316,5.374584418093157,1.0728152935508816e-7,2.9439313790675664e-5,7.373018148032274
IMPAD1,-0.4344064280477064,6.233598781506405,-5.360933135098561,1.1534081290299924e-7,2.9892494010693973e-5,7.3054952154074515
UQCRB,-0.46254812758339797,6.392326134770213,-5.310149834565775,1.50801998122408e-7,3.5920889349840084e-5,7.055682669001224
S100P,-1.2601458942589714,7.537663184187034,-5.3061549374724155,1.5400166923832833e-7,3.5920889349840084e-5,7.036123110708927
ID1,0.5735654346850586,5.48199483129487,5.261566008594555,1.9449149663096444e-7,4.320489675159281e-5,6.81872279629131
ABAT,0.8596702662423934,6.39504901009289,5.235503623454445,2.2274884250258032e-7,4.72328795579335e-5,6.692428681613387
ENPP2,0.7366423191703743,6.255074537579211,5.133422742369185,3.768397041321356e-7,7.643292259897446e-5,6.2032978865067525
COX6B1,-0.3145298871828739,9.94759678638986,-5.120893350946247,4.0171453471473376e-7,7.65678983812734e-5,6.143871266725122
SORBS2,0.7049299098016912,6.306946320981993,5.116727358857914,4.1033171694144374e-7,7.65678983812734e-5,6.124141625712004
CX3CR1,0.6850186918018822,6.212360423645195,5.064701175238246,5.342007047580765e-7,9.584793414217027e-5,5.878995913053559
SEPHS1,-0.4238309954754148,6.205216235135494,-5.056114529138769,5.578493570969234e-7,9.638397225396843e-5,5.838757626083331
SYNPO,0.44454690579780554,6.977530085275071,5.048041952887637,5.810027175456238e-7,9.679920276251197e-5,5.800985698902937
